acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
13479263|2021-07|0.0|6343.6856|6343.6856|6198.65658|6198.65658
13479263|2021-08|0.0|6620.65142|6620.65142|6343.6856|6343.6856
13479263|2021-09|0.0|6473.85562|6620.65142|6620.65142|6620.65142
13479263|2021-10|0.0|6970.12286|6970.12286|6620.65142|6620.65142
13549992|2021-06|0.0|102431.71|102431.71|100412.3|100412.3
13549992|2021-07|0.0|103609.56|103609.56|102431.71|102431.71
13549992|2021-08|0.0|106014.68|106014.68|103609.56|103609.56
13549992|2021-09|12.539999999993595|101882.62|106014.68|106014.68|106014.68
13549992|2021-10|0.0|107350.09|107350.09|106014.68|106014.68
13569584|2021-06|0.0|116975.42614|116975.42614|115807.20782|115807.20782
13569584|2021-07|0.0|117932.33992|117932.33992|116975.42614|116975.42614
13569584|2021-08|0.0|120338.14119|120338.14119|117932.33992|117932.33992
13569584|2021-09|82.27999999999884|115694.55282|120338.14119|120338.14119|120338.14119
13569584|2021-10|0.0|120617.96664|120617.96664|120338.14119|120338.14119
13601210|2021-06|0.0|263620.53104|263838.40765|263838.40765|263838.40765
13601210|2021-07|0.0|261944.9288|263838.40765|263838.40765|263838.40765
13601210|2021-08|0.0|264140.03017|264140.03017|263838.40765|263838.40765
13601210|2021-09|0.0|253603.37601|264140.03017|264140.03017|264140.03017
13601210|2021-10|0.0|258893.5459|264140.03017|264140.03017|264140.03017
13792993|2021-06|0.0|569185.40837|569185.40837|562291.70422|562291.70422
13792993|2021-07|0.0|570074.34767|570074.34767|569185.40837|569185.40837
13792993|2021-08|-1.1641532182693479e-10|579680.77869|579680.77869|570074.34767|570074.34767
13792993|2021-09|0.0|561040.89196|579680.77869|579680.77869|579680.77869
13792993|2021-10|0.0|580470.67307|580470.67307|579680.77869|579680.77869
13863397|2021-06|10.5|47785.0254|48269.91321|48269.91321|48269.91321
13863397|2021-07|0.0|48478.12459|48478.12459|48269.91321|48269.91321
13863397|2021-08|0.0|49664.57371|49664.57371|48478.12459|48478.12459
13863397|2021-09|10.5|190664.8385|190664.8385|49664.57371|49664.57371
13863397|2021-10|0.0|189776.926|190664.8385|190664.8385|190664.8385
13887578|2021-06|0.0|63568.01889|63568.01889|62989.77913|62989.77913
13887578|2021-07|0.0|63946.9677|63946.9677|63568.01889|63568.01889
13887578|2021-08|0.0|65114.13496|65114.13496|63946.9677|63946.9677
13887578|2021-09|0.0|62750.85929|65114.13496|65114.13496|65114.13496
13887578|2021-10|0.0|65030.53736|65114.13496|65114.13496|65114.13496
13921326|2021-06|0.0|29367.99|29493.64908|29493.64908|29493.64908
13921326|2021-07|0.0|29594.71222|29594.71222|29493.64908|29493.64908
13921326|2021-08|0.0|29823.14664|29823.14664|29594.71222|29594.71222
13921326|2021-09|0.0|29458.50888|29823.14664|29823.14664|29823.14664
13921326|2021-10|0.0|30165.12675|30165.12675|29823.14664|29823.14664
13941462|2021-06|0.0|13236.04152|13236.04152|12982.49122|12982.49122
13941462|2021-07|0.0|13522.1919|13522.1919|13236.04152|13236.04152
13941462|2021-08|0.0|13785.96422|13785.96422|13522.1919|13522.1919
